symbol,Datetime,Open,High,Low,Close,Volume,trade_count,vwap
META,2025-11-18 17:50:00+00:00,596.44,596.48,595.695,596.025,68689.0,1578.0,596.095908
META,2025-11-18 17:51:00+00:00,596.03,596.3,595.06,595.3051,33158.0,1149.0,595.531755
META,2025-11-18 17:52:00+00:00,595.34,596.89,595.1,596.65,46310.0,1161.0,596.095145
META,2025-11-18 17:53:00+00:00,596.57,597.86,596.41,597.5,85052.0,1723.0,597.234935
META,2025-11-18 17:54:00+00:00,597.5,599.43,597.5,598.79,142702.0,3421.0,598.536932
META,2025-11-18 17:55:00+00:00,598.725,598.9899,597.0,597.66,76267.0,2356.0,597.93238
META,2025-11-18 17:56:00+00:00,597.56,598.3499,597.4225,598.22,61296.0,1506.0,597.927762
META,2025-11-18 17:57:00+00:00,598.2175,599.43,597.7,599.2,84108.0,1758.0,598.938604
META,2025-11-18 17:58:00+00:00,599.22,599.43,598.23,598.43,78706.0,1962.0,598.96815
META,2025-11-18 17:59:00+00:00,598.41,598.57,597.56,597.78,43321.0,1462.0,598.059702
META,2025-11-18 18:00:00+00:00,597.87,598.58,597.67,598.2263,35310.0,1179.0,598.339429
META,2025-11-18 18:01:00+00:00,598.285,598.57,598.0456,598.2838,35237.0,1210.0,598.308479
META,2025-11-18 18:02:00+00:00,598.49,598.59,597.1101,597.164,63818.0,1468.0,597.850751
META,2025-11-18 18:03:00+00:00,597.1814,598.04,596.9,597.574,33861.0,1235.0,597.474472
META,2025-11-18 18:04:00+00:00,597.56,597.88,597.04,597.61,21228.0,771.0,597.516836
META,2025-11-18 18:05:00+00:00,597.68,597.93,597.2312,597.58,25845.0,1000.0,597.545695
META,2025-11-18 18:06:00+00:00,597.72,598.05,597.35,598.05,22038.0,903.0,597.780346
META,2025-11-18 18:07:00+00:00,598.0,598.4,597.55,597.59,26505.0,977.0,598.021524
META,2025-11-18 18:08:00+00:00,597.521,597.8,597.14,597.61,20822.0,853.0,597.539112
META,2025-11-18 18:09:00+00:00,597.63,597.64,596.91,597.36,26593.0,909.0,597.255468
META,2025-11-18 18:10:00+00:00,597.54,597.8599,597.285,597.43,52111.0,790.0,597.441248
META,2025-11-18 18:11:00+00:00,597.43,597.92,597.375,597.5532,33823.0,842.0,597.699428
META,2025-11-18 18:12:00+00:00,597.6651,598.47,597.5,598.1101,34429.0,953.0,598.008844
META,2025-11-18 18:13:00+00:00,598.225,598.73,597.895,597.895,30926.0,1197.0,598.347327
META,2025-11-18 18:14:00+00:00,598.0,598.07,597.2501,597.36,39451.0,1208.0,597.608173
META,2025-11-18 18:15:00+00:00,597.36,597.54,596.4,597.54,44933.0,1339.0,596.973724
META,2025-11-18 18:16:00+00:00,597.51,597.9,597.35,597.7297,21889.0,860.0,597.654358
META,2025-11-18 18:17:00+00:00,597.79,597.825,596.7,597.06,22651.0,899.0,597.233332
META,2025-11-18 18:18:00+00:00,597.23,597.6,596.9201,597.359,30711.0,875.0,597.224086
META,2025-11-18 18:19:00+00:00,597.155,597.16,596.7001,597.01,23148.0,856.0,596.872251
META,2025-11-18 18:20:00+00:00,597.12,597.3,595.62,595.62,46876.0,1406.0,596.30285
META,2025-11-18 18:21:00+00:00,595.685,596.47,595.685,596.211,27555.0,930.0,596.058704
META,2025-11-18 18:22:00+00:00,596.28,596.75,595.95,596.6835,21868.0,739.0,596.241617
META,2025-11-18 18:23:00+00:00,596.76,597.1,596.58,596.9799,25797.0,736.0,596.894952
META,2025-11-18 18:24:00+00:00,596.88,597.292,596.49,596.99,29959.0,879.0,596.863922
META,2025-11-18 18:25:00+00:00,596.99,597.0613,596.18,596.4,24802.0,789.0,596.471299
META,2025-11-18 18:26:00+00:00,596.365,596.42,595.4,595.58,43569.0,1195.0,595.888756
META,2025-11-18 18:27:00+00:00,595.58,596.7,595.58,596.2015,36172.0,996.0,596.351664
META,2025-11-18 18:28:00+00:00,596.18,596.19,595.0,595.165,39046.0,1365.0,595.392366
META,2025-11-18 18:29:00+00:00,595.11,595.4533,594.7901,594.7901,43530.0,1092.0,595.100085
META,2025-11-18 18:30:00+00:00,594.84,595.91,594.78,595.6,23565.0,930.0,595.364324
META,2025-11-18 18:31:00+00:00,595.43,596.2,595.35,596.06,32736.0,873.0,595.729708
META,2025-11-18 18:32:00+00:00,596.0,596.43,595.94,596.18,27501.0,875.0,596.184694
META,2025-11-18 18:33:00+00:00,596.12,597.36,595.9,597.0,46966.0,1160.0,596.571467
META,2025-11-18 18:34:00+00:00,597.065,597.67,596.99,597.39,24107.0,806.0,597.313401
META,2025-11-18 18:35:00+00:00,597.39,597.85,597.14,597.295,29143.0,880.0,597.47995
META,2025-11-18 18:36:00+00:00,597.39,597.55,596.84,597.25,36625.0,878.0,597.084031
META,2025-11-18 18:37:00+00:00,597.0635,597.28,596.45,597.155,29116.0,980.0,596.81327
META,2025-11-18 18:38:00+00:00,597.155,597.65,596.7901,597.565,39995.0,941.0,597.25682
META,2025-11-18 18:39:00+00:00,597.6,598.03,597.41,597.855,25088.0,977.0,597.753063
META,2025-11-18 18:40:00+00:00,597.855,599.39,597.855,599.32,55613.0,1230.0,598.798907
META,2025-11-18 18:41:00+00:00,599.36,600.3099,599.0,600.19,134537.0,2680.0,599.794058
META,2025-11-18 18:42:00+00:00,600.195,600.195,599.13,599.42,65355.0,1352.0,599.718723
META,2025-11-18 18:43:00+00:00,599.36,599.47,597.8401,598.32,33532.0,1163.0,598.44936
META,2025-11-18 18:44:00+00:00,598.41,598.805,598.22,598.319,17849.0,790.0,598.503925
META,2025-11-18 18:45:00+00:00,598.2101,598.73,597.9001,598.1,35138.0,928.0,598.361231
META,2025-11-18 18:46:00+00:00,598.1,599.351,598.095,599.135,26025.0,848.0,598.815897
META,2025-11-18 18:47:00+00:00,599.1134,599.63,598.745,599.025,33004.0,1049.0,599.097393
META,2025-11-18 18:48:00+00:00,599.02,599.27,598.2701,598.32,20973.0,761.0,598.701969
META,2025-11-18 18:49:00+00:00,598.3935,599.15,598.14,598.98,42248.0,923.0,598.631152
META,2025-11-18 18:50:00+00:00,599.0101,599.57,598.71,599.33,53380.0,899.0,599.305717
META,2025-11-18 18:51:00+00:00,599.3,600.0,599.1612,599.92,39547.0,885.0,599.751857
META,2025-11-18 18:52:00+00:00,599.76,600.36,599.46,599.9522,56956.0,1674.0,599.827072
META,2025-11-18 18:53:00+00:00,599.96,599.96,599.38,599.39,20365.0,791.0,599.691806
META,2025-11-18 18:54:00+00:00,599.475,599.7,599.32,599.35,17038.0,719.0,599.460229
META,2025-11-18 18:55:00+00:00,599.538,599.538,598.51,598.51,34120.0,1156.0,598.953314
META,2025-11-18 18:56:00+00:00,598.51,598.66,597.9,598.215,30007.0,911.0,598.243549
META,2025-11-18 18:57:00+00:00,598.215,598.47,597.6304,597.795,22138.0,694.0,597.921232
META,2025-11-18 18:58:00+00:00,597.81,597.91,596.44,597.2108,39731.0,1055.0,597.235567
META,2025-11-18 18:59:00+00:00,597.067,597.81,597.0508,597.63,25821.0,967.0,597.511112
META,2025-11-18 19:00:00+00:00,597.82,598.29,597.51,598.11,25832.0,979.0,597.908824
META,2025-11-18 19:01:00+00:00,598.0351,599.14,597.84,598.63,36609.0,1127.0,598.709405
META,2025-11-18 19:02:00+00:00,598.63,598.7629,598.1742,598.44,16685.0,903.0,598.462032
META,2025-11-18 19:03:00+00:00,598.3,598.4249,597.76,597.76,31098.0,977.0,598.015651
META,2025-11-18 19:04:00+00:00,597.775,598.39,597.775,598.111,21880.0,771.0,598.110295
META,2025-11-18 19:05:00+00:00,598.1501,598.61,598.02,598.24,20854.0,764.0,598.31774
META,2025-11-18 19:06:00+00:00,598.3047,598.69,598.1225,598.6,15791.0,671.0,598.387393
META,2025-11-18 19:07:00+00:00,598.6,598.7,597.935,598.2883,25897.0,858.0,598.268188
META,2025-11-18 19:08:00+00:00,598.3287,598.55,598.0,598.51,18852.0,686.0,598.238071
META,2025-11-18 19:09:00+00:00,598.51,599.1252,598.155,598.718,24979.0,738.0,598.701848
META,2025-11-18 19:10:00+00:00,598.64,599.0899,598.432,598.625,24021.0,685.0,598.726871
META,2025-11-18 19:11:00+00:00,598.625,598.7299,598.0001,598.18,15929.0,591.0,598.352778
META,2025-11-18 19:12:00+00:00,598.15,598.9014,598.1,598.705,41131.0,812.0,598.632733
META,2025-11-18 19:13:00+00:00,598.705,599.65,598.335,599.5325,53456.0,1225.0,599.168262
META,2025-11-18 19:14:00+00:00,599.465,600.49,599.44,600.12,52482.0,1138.0,599.985526
META,2025-11-18 19:15:00+00:00,600.05,600.3717,599.34,599.86,33329.0,914.0,599.859712
META,2025-11-18 19:16:00+00:00,599.9,600.03,599.45,599.76,21257.0,698.0,599.647471
META,2025-11-18 19:17:00+00:00,599.7817,599.96,599.22,599.5825,17781.0,599.0,599.635079
META,2025-11-18 19:18:00+00:00,599.71,600.23,599.58,600.1537,43001.0,978.0,599.919737
META,2025-11-18 19:19:00+00:00,600.24,600.77,600.0,600.6,42533.0,982.0,600.438383
META,2025-11-18 19:20:00+00:00,600.56,601.0,599.95,600.24,33595.0,935.0,600.495592
META,2025-11-18 19:21:00+00:00,600.3,600.3,599.69,599.73,15194.0,741.0,599.915772
META,2025-11-18 19:22:00+00:00,599.7705,600.12,599.35,600.01,28171.0,897.0,599.843662
META,2025-11-18 19:23:00+00:00,599.9017,599.99,599.121,599.63,18093.0,780.0,599.503433
META,2025-11-18 19:24:00+00:00,599.7,599.9999,599.33,599.865,22029.0,744.0,599.598778
META,2025-11-18 19:25:00+00:00,599.855,600.41,599.74,600.22,27604.0,936.0,600.051491
META,2025-11-18 19:26:00+00:00,600.25,600.38,599.6575,599.6575,21359.0,797.0,600.09025
META,2025-11-18 19:27:00+00:00,599.62,599.99,599.5,599.675,15005.0,598.0,599.694737
META,2025-11-18 19:28:00+00:00,599.65,599.7164,599.03,599.03,26527.0,788.0,599.353232
META,2025-11-18 19:29:00+00:00,599.105,599.6139,598.89,599.29,26005.0,819.0,599.231803
META,2025-11-18 19:30:00+00:00,599.22,599.95,599.22,599.68,32980.0,761.0,599.602465
META,2025-11-18 19:31:00+00:00,599.68,599.74,599.2101,599.3,21911.0,796.0,599.427264
META,2025-11-18 19:32:00+00:00,599.305,599.305,598.77,598.89,30765.0,744.0,598.937447
META,2025-11-18 19:33:00+00:00,598.89,599.06,598.591,598.92,19198.0,670.0,598.840932
META,2025-11-18 19:34:00+00:00,599.06,599.3,598.66,599.3,15106.0,539.0,599.032706
META,2025-11-18 19:35:00+00:00,599.3,600.1965,599.26,600.07,50532.0,1179.0,599.77209
META,2025-11-18 19:36:00+00:00,600.07,600.51,599.81,600.32,52684.0,1422.0,600.147654
META,2025-11-18 19:37:00+00:00,600.32,601.43,600.32,601.04,72430.0,1372.0,601.023199
META,2025-11-18 19:38:00+00:00,601.16,602.34,601.081,602.22,84323.0,1821.0,601.664086
META,2025-11-18 19:39:00+00:00,602.26,602.9,602.12,602.79,42620.0,1223.0,602.540863
META,2025-11-18 19:40:00+00:00,602.86,603.3999,602.655,603.13,70867.0,1725.0,602.998476
META,2025-11-18 19:41:00+00:00,603.09,603.37,602.75,602.87,101054.0,1251.0,603.13361
META,2025-11-18 19:42:00+00:00,602.885,602.99,602.3,602.5866,25059.0,848.0,602.580503
META,2025-11-18 19:43:00+00:00,602.62,603.3,602.45,602.8152,44762.0,1001.0,602.97806
META,2025-11-18 19:44:00+00:00,602.7645,602.9252,601.35,601.53,32884.0,992.0,602.025145
META,2025-11-18 19:45:00+00:00,601.75,602.57,601.53,602.4,18458.0,770.0,602.056761
META,2025-11-18 19:46:00+00:00,602.41,602.59,602.02,602.3779,25277.0,839.0,602.307807
META,2025-11-18 19:47:00+00:00,602.53,603.6,602.53,603.5404,42938.0,968.0,603.260459
META,2025-11-18 19:48:00+00:00,603.41,603.66,602.6039,602.68,53784.0,1170.0,603.178152
META,2025-11-18 19:49:00+00:00,602.6158,603.0821,602.2641,602.36,22867.0,841.0,602.577804
META,2025-11-18 19:50:00+00:00,602.22,602.22,601.45,601.56,27793.0,849.0,601.774754
META,2025-11-18 19:51:00+00:00,601.5875,601.6799,600.8201,601.382,29550.0,856.0,601.276
META,2025-11-18 19:52:00+00:00,601.42,601.91,601.4,601.7161,17519.0,599.0,601.719821
META,2025-11-18 19:53:00+00:00,601.7182,601.79,601.0636,601.29,26978.0,847.0,601.493961
META,2025-11-18 19:54:00+00:00,601.295,601.35,600.3,600.41,25239.0,758.0,600.671379
META,2025-11-18 19:55:00+00:00,600.41,600.87,599.81,600.71,43916.0,1365.0,600.321848
META,2025-11-18 19:56:00+00:00,600.56,601.17,600.4301,601.1303,28395.0,720.0,600.823756
META,2025-11-18 19:57:00+00:00,601.18,601.2999,600.8301,600.92,23612.0,595.0,601.071536
META,2025-11-18 19:58:00+00:00,600.993,601.6,600.88,601.2675,27469.0,680.0,601.297223
META,2025-11-18 19:59:00+00:00,601.265,602.1,601.1801,602.0,24708.0,791.0,601.790873
META,2025-11-18 20:00:00+00:00,601.925,602.23,601.54,601.749,20562.0,776.0,601.907461
META,2025-11-18 20:01:00+00:00,601.77,601.87,601.31,601.5,15239.0,671.0,601.563975
META,2025-11-18 20:02:00+00:00,601.6,601.78,601.07,601.3079,28237.0,887.0,601.451127
META,2025-11-18 20:03:00+00:00,601.3,601.5,600.76,600.9,29297.0,920.0,601.04905
META,2025-11-18 20:04:00+00:00,600.9,601.04,600.19,600.31,27871.0,765.0,600.629157
META,2025-11-18 20:05:00+00:00,600.3,600.55,599.92,600.05,41951.0,1190.0,600.204838
META,2025-11-18 20:06:00+00:00,600.055,600.3,599.5504,600.115,56043.0,1216.0,599.94075
META,2025-11-18 20:07:00+00:00,600.08,600.49,599.8901,600.165,31950.0,949.0,600.188403
META,2025-11-18 20:08:00+00:00,600.21,600.47,599.91,599.95,55543.0,1215.0,600.113752
META,2025-11-18 20:09:00+00:00,599.94,600.49,599.94,600.215,34322.0,843.0,600.216871
META,2025-11-18 20:10:00+00:00,600.12,600.43,599.83,599.95,27993.0,867.0,600.120019
META,2025-11-18 20:11:00+00:00,599.91,600.45,599.76,600.45,36348.0,905.0,600.009577
META,2025-11-18 20:12:00+00:00,600.49,600.83,600.24,600.37,28015.0,725.0,600.543592
